month,ad_type,total_ads,total_spend_max
2020-01-01,VIDEO,21659,23364700
2020-01-01,IMAGE,11451,3147200
2020-01-01,TEXT,3293,15378900
2020-02-01,TEXT,5059,6652600
2020-02-01,VIDEO,37448,29738300
2020-02-01,IMAGE,6871,1948900
2020-03-01,VIDEO,6493,8373700
2020-03-01,IMAGE,3640,1522600
2020-03-01,TEXT,2266,3942800
2020-04-01,VIDEO,2279,4457300
2020-04-01,IMAGE,1659,1497600
2020-04-01,TEXT,2775,7918500
2020-05-01,VIDEO,3200,7860700
2020-05-01,IMAGE,2328,2331200
2020-05-01,TEXT,3094,5036300
2020-06-01,TEXT,3607,5498200
2020-06-01,VIDEO,5620,13900200
2020-06-01,IMAGE,3561,1961600
2020-07-01,VIDEO,6236,22954100
2020-07-01,IMAGE,14016,12193300
2020-07-01,TEXT,3910,17118800
2020-08-01,IMAGE,5047,6377400
2020-08-01,TEXT,5194,17330600
2020-08-01,VIDEO,12822,46580000
2020-09-01,IMAGE,7382,5504700
2020-09-01,TEXT,15210,29273000
2020-09-01,VIDEO,35191,82421900
2020-10-01,VIDEO,54197,166734600
2020-10-01,IMAGE,12945,8918200
2020-10-01,TEXT,19628,29299900
2020-11-01,IMAGE,1829,662900
2020-11-01,TEXT,4096,2386000
2020-11-01,VIDEO,2378,6068400
2020-12-01,TEXT,1568,5080500
2020-12-01,VIDEO,1581,19688300
2020-12-01,IMAGE,1303,1465400
2021-01-01,IMAGE,736,267400
2021-01-01,VIDEO,787,1354800
2021-01-01,TEXT,420,1003500
2021-02-01,IMAGE,713,1079900
2021-02-01,VIDEO,527,782800
2021-02-01,TEXT,554,1062200
2021-03-01,IMAGE,1689,1748100
2021-03-01,VIDEO,1216,1122500
2021-03-01,TEXT,1742,2639900
2021-04-01,VIDEO,1524,1978200
2021-04-01,IMAGE,3200,2523400
2021-04-01,TEXT,1411,2356500
2021-05-01,TEXT,1256,2777300
2021-05-01,VIDEO,1224,4511200
2021-05-01,IMAGE,4266,842500
2021-06-01,IMAGE,1731,975600
2021-06-01,TEXT,893,5233800
2021-06-01,VIDEO,850,4288600
2021-07-01,IMAGE,1442,2777100
2021-07-01,TEXT,793,3720600
2021-07-01,VIDEO,822,3633900
2021-08-01,TEXT,1381,7082700
2021-08-01,VIDEO,1167,7196700
2021-08-01,IMAGE,3030,1611800
2021-09-01,IMAGE,7735,3252700
2021-09-01,TEXT,1140,2597900
2021-09-01,VIDEO,1556,7704000
2021-10-01,IMAGE,4288,2240100
2021-10-01,VIDEO,2628,10616300
2021-10-01,TEXT,1242,2640500
2021-11-01,IMAGE,3497,2315000
2021-11-01,VIDEO,903,3577500
2021-11-01,TEXT,840,2037900
2021-12-01,TEXT,646,1471400
2021-12-01,VIDEO,943,2258300
2021-12-01,IMAGE,3131,2571800
2022-01-01,TEXT,864,2134700
2022-01-01,VIDEO,811,4188000
2022-01-01,IMAGE,5246,2513800
2022-02-01,IMAGE,3844,1445600
2022-02-01,VIDEO,1256,3864800
2022-02-01,TEXT,1033,5612000
2022-03-01,TEXT,1102,2872900
2022-03-01,IMAGE,1788,2903600
2022-03-01,VIDEO,1628,6847200
2022-04-01,VIDEO,2121,7701700
2022-04-01,IMAGE,1185,1890200
2022-04-01,TEXT,1533,4674100
2022-05-01,VIDEO,2947,14950700
2022-05-01,IMAGE,2847,3872100
2022-05-01,TEXT,1546,5286300
2022-06-01,IMAGE,1980,2086100
2022-06-01,VIDEO,3030,14396500
2022-06-01,TEXT,1775,5704900
2022-07-01,TEXT,1585,10421900
2022-07-01,VIDEO,3628,18261600
2022-07-01,IMAGE,2415,2117100
2022-08-01,IMAGE,2054,834300
2022-08-01,TEXT,1105,8273500
2022-08-01,VIDEO,5045,31630400
2022-09-01,VIDEO,9308,57256700
2022-09-01,IMAGE,7713,1638300
2022-09-01,TEXT,3510,12562000
2022-10-01,TEXT,4769,12600900
2022-10-01,VIDEO,18421,108702100
2022-10-01,IMAGE,8605,3759200
2022-11-01,IMAGE,1815,1103400
2022-11-01,TEXT,3792,7341200
2022-11-01,VIDEO,7162,28723000
2022-12-01,TEXT,315,1561300
2022-12-01,IMAGE,574,303800
2022-12-01,VIDEO,1119,2181800
2023-01-01,IMAGE,793,249300
2023-01-01,TEXT,261,4459500
2023-01-01,VIDEO,903,888500
2023-02-01,TEXT,433,2924200
2023-02-01,IMAGE,1746,314800
2023-02-01,VIDEO,1368,1901100
2023-03-01,VIDEO,1675,4341400
2023-03-01,IMAGE,1228,349000
2023-03-01,TEXT,510,3034500
2023-04-01,IMAGE,896,433700
2023-04-01,TEXT,710,4600700
2023-04-01,VIDEO,2534,3143700
2023-05-01,TEXT,603,4034000
2023-05-01,IMAGE,493,232800
2023-05-01,VIDEO,1820,3307400
2023-06-01,IMAGE,905,497800
2023-06-01,TEXT,807,4238700
2023-06-01,VIDEO,2386,3286600
2023-07-01,VIDEO,1582,2964100
2023-07-01,TEXT,823,2609000
2023-07-01,IMAGE,1320,614800
2023-08-01,VIDEO,1845,6323400
2023-08-01,TEXT,1005,8143200
2023-08-01,IMAGE,1024,706800
2023-09-01,TEXT,754,3270600
2023-09-01,VIDEO,2833,10390800
2023-09-01,IMAGE,1238,527400
2023-10-01,TEXT,819,5857700
2023-10-01,VIDEO,3860,12298800
2023-10-01,IMAGE,1414,1207000
2023-11-01,TEXT,741,5733200
2023-11-01,IMAGE,714,1399300
2023-11-01,VIDEO,1922,5992300
2023-12-01,IMAGE,615,494200
2023-12-01,VIDEO,1645,4453300
2023-12-01,TEXT,637,3191700
2024-01-01,TEXT,957,9553500
2024-01-01,IMAGE,1169,1079800
2024-01-01,VIDEO,2202,11257500
2024-02-01,VIDEO,3426,19061700
2024-02-01,IMAGE,1330,785900
2024-02-01,TEXT,1173,4063200
2024-03-01,VIDEO,2396,10339100
2024-03-01,IMAGE,616,412000
2024-03-01,TEXT,1560,4001600
2024-04-01,VIDEO,2785,12315200
2024-04-01,TEXT,1773,8828200
2024-04-01,IMAGE,1150,382700
2024-05-01,VIDEO,4710,19010400
2024-05-01,TEXT,2787,5327900
2024-05-01,IMAGE,1594,651100
2024-06-01,TEXT,2763,7199100
2024-06-01,VIDEO,4967,29558800
2024-06-01,IMAGE,754,504100
2024-07-01,TEXT,2049,41209000
2024-07-01,VIDEO,6355,41440300
2024-07-01,IMAGE,1015,878300
2024-08-01,TEXT,2634,20375000
2024-08-01,IMAGE,1045,446300
2024-08-01,VIDEO,11043,72042900
2024-09-01,TEXT,4605,23782200
2024-09-01,VIDEO,18372,137682200
2024-09-01,IMAGE,2086,1508500
2024-10-01,TEXT,12070,28031800
2024-10-01,IMAGE,7865,4520000
2024-10-01,VIDEO,48747,332580800
2024-11-01,VIDEO,5069,15809900
2024-11-01,TEXT,3427,9872600
2024-11-01,IMAGE,1159,1605200
2024-12-01,TEXT,666,1255400
2024-12-01,VIDEO,2203,2077100
2024-12-01,IMAGE,243,146300
2025-01-01,VIDEO,2115,3397600
2025-01-01,TEXT,755,2757300
2025-01-01,IMAGE,274,170900
2025-02-01,VIDEO,3146,7170900
2025-02-01,IMAGE,301,421100
2025-02-01,TEXT,633,4698700
2025-03-01,IMAGE,524,331500
2025-03-01,TEXT,650,2446900
2025-03-01,VIDEO,3475,12234500
2025-04-01,VIDEO,2958,10067500
2025-04-01,IMAGE,308,348900
2025-04-01,TEXT,909,2226000
2025-05-01,IMAGE,476,489100
2025-05-01,TEXT,802,1702900
2025-05-01,VIDEO,2144,10934300
2025-06-01,TEXT,1169,1429600
2025-06-01,IMAGE,404,162000
2025-06-01,VIDEO,3121,13039300
2025-07-01,IMAGE,419,125800
2025-07-01,VIDEO,2066,11603100
2025-07-01,TEXT,1038,1642600
2025-08-01,TEXT,1084,2287000
2025-08-01,VIDEO,2103,13210500
2025-08-01,IMAGE,931,300200
2025-09-01,VIDEO,2924,25137100
2025-09-01,TEXT,865,4096000
2025-09-01,IMAGE,312,163200
2025-10-01,VIDEO,5052,37790500
2025-10-01,TEXT,1025,4363700
2025-10-01,IMAGE,551,538100
2025-11-01,TEXT,628,2676400
2025-11-01,IMAGE,385,186600
2025-11-01,VIDEO,1908,7756000
2025-12-01,TEXT,477,1130600
2025-12-01,IMAGE,726,257400
2025-12-01,VIDEO,1951,6385100
2026-01-01,TEXT,710,2369800
2026-01-01,IMAGE,904,893200
2026-01-01,VIDEO,3047,13409200
2026-02-01,VIDEO,4244,27498400
2026-02-01,IMAGE,716,226900
2026-02-01,TEXT,633,1652500
2026-03-01,VIDEO,4188,27310700
2026-03-01,TEXT,774,4239400
2026-03-01,IMAGE,360,238800
2026-04-01,VIDEO,6582,50344000
2026-04-01,IMAGE,1316,467200
2026-04-01,TEXT,820,3868000
2026-05-01,IMAGE,5497,984800
2026-05-01,TEXT,1021,1927300
2026-05-01,VIDEO,8294,68762000
2026-06-01,TEXT,337,157700
2026-06-01,IMAGE,449,74900
2026-06-01,VIDEO,3009,7315000