state,ad_type,total_ads,total_spend_max
California,VIDEO,21041,190239900
Pennsylvania,VIDEO,25384,156144200
Georgia,VIDEO,17345,122829300
Michigan,VIDEO,24809,122704100
Arizona,VIDEO,23694,104265800
Wisconsin,VIDEO,18418,96195000
North Carolina,VIDEO,16842,73359800
Texas,VIDEO,12604,66184900
Ohio,VIDEO,9853,66104400
Florida,VIDEO,21805,59339500
Virginia,VIDEO,11689,55714500
Nevada,VIDEO,15236,52794400
Alabama,TEXT,3289,51450800
New York,VIDEO,9196,44186400
California,TEXT,8575,41617500
Illinois,VIDEO,6702,37035700
New Jersey,VIDEO,4875,32597500
Iowa,VIDEO,8972,31741400
Colorado,VIDEO,11275,25096300
Montana,VIDEO,5067,24805800
Arizona,TEXT,7118,22238900
Minnesota,VIDEO,20052,19792500
Georgia,TEXT,5777,19277200
Pennsylvania,TEXT,8039,19111000
Kentucky,VIDEO,2087,17211700
Maine,VIDEO,6441,16687200
South Carolina,VIDEO,3928,16261600
New Hampshire,VIDEO,4843,16235400
Wisconsin,TEXT,6016,15525400
Michigan,TEXT,10419,15359500
Oregon,VIDEO,2500,14578800
Florida,TEXT,5540,14165100
New York,TEXT,3727,12148900
Maryland,VIDEO,2077,12039300
Alaska,VIDEO,3607,11730300
Nebraska,VIDEO,3484,10929000
Alabama,VIDEO,10091,10498300
North Carolina,TEXT,4668,9914900
Washington,VIDEO,3172,9068000
Missouri,VIDEO,3334,8529600
Texas,TEXT,4340,7574800
Virginia,TEXT,4224,7272100
Colorado,TEXT,8875,7150200
Indiana,VIDEO,2183,6840700
New Mexico,VIDEO,1688,6652500
Oklahoma,VIDEO,2705,6300200
Michigan,IMAGE,4800,6269000
California,IMAGE,5858,6073100
Ohio,TEXT,2358,6011800
Massachusetts,VIDEO,5122,5994700
Nevada,TEXT,3292,5895900
Kansas,VIDEO,1676,5626100
Utah,VIDEO,2625,5178100
Connecticut,VIDEO,2435,4712300
Iowa,TEXT,2585,4580700
Tennessee,VIDEO,3132,4435500
Illinois,TEXT,2275,4044000
Oregon,TEXT,1425,3906500
Massachusetts,TEXT,731,3522300
Louisiana,VIDEO,874,3424600
Montana,TEXT,1013,3342500
Florida,IMAGE,4485,3145700
New Jersey,TEXT,1792,2979100
Pennsylvania,IMAGE,3392,2976800
Minnesota,TEXT,4619,2787700
West Virginia,VIDEO,1118,2766100
Arkansas,VIDEO,2398,2531400
Maine,TEXT,1528,2291700
Arizona,IMAGE,3026,2224500
New Hampshire,TEXT,2242,2106900
Alabama,IMAGE,13923,2099500
Georgia,IMAGE,2948,1967700
Missouri,TEXT,789,1884600
Nebraska,TEXT,1647,1875800
Mississippi,VIDEO,2085,1816400
South Carolina,TEXT,1297,1667700
Texas,IMAGE,4320,1582900
Kentucky,TEXT,564,1575000
New York,IMAGE,2646,1465800
Idaho,VIDEO,1074,1429000
Utah,TEXT,1408,1403800
Washington,TEXT,1263,1353000
Connecticut,IMAGE,9412,1313400
South Dakota,VIDEO,463,1295300
Maryland,TEXT,371,1279200
Ohio,IMAGE,2635,1242800
Nevada,IMAGE,1615,1209200
Kansas,TEXT,523,1183000
Wisconsin,IMAGE,1969,1173400
Alaska,IMAGE,3274,1139500
New Jersey,IMAGE,1949,1136100
South Dakota,IMAGE,9503,1029900
North Carolina,IMAGE,1418,1004900
Utah,IMAGE,2682,957400
Alaska,TEXT,753,884500
Illinois,IMAGE,2088,873500
Minnesota,IMAGE,2685,854800
Rhode Island,VIDEO,187,816600
Delaware,VIDEO,321,783300
Montana,IMAGE,828,698700
Virginia,IMAGE,1945,695400
Hawaii,VIDEO,461,679700
Massachusetts,IMAGE,1007,664200
Indiana,TEXT,718,656200
Connecticut,TEXT,858,650400
Maryland,IMAGE,294,623400
New Mexico,TEXT,1531,588000
Wyoming,VIDEO,274,572500
Tennessee,TEXT,700,562200
North Dakota,VIDEO,349,551800
Vermont,VIDEO,1053,529200
Colorado,IMAGE,799,502300
Oklahoma,TEXT,750,475000
Iowa,IMAGE,706,461300
West Virginia,IMAGE,3250,454600
New Hampshire,IMAGE,1369,432800
Maine,IMAGE,2058,406300
Idaho,IMAGE,1749,367700
Indiana,IMAGE,840,365900
South Carolina,IMAGE,432,350200
Idaho,TEXT,255,316200
Louisiana,TEXT,425,309000
Mississippi,IMAGE,1346,271600
Arkansas,TEXT,322,259400
Missouri,IMAGE,456,255500
Arkansas,IMAGE,715,245900
Kentucky,IMAGE,656,228100
West Virginia,TEXT,298,208100
Tennessee,IMAGE,553,197700
North Dakota,TEXT,226,194400
Delaware,TEXT,428,193200
Louisiana,IMAGE,271,190900
South Dakota,TEXT,153,175000
Vermont,IMAGE,1510,169900
Washington,IMAGE,404,161800
Kansas,IMAGE,323,157000
Oregon,IMAGE,262,150500
Rhode Island,TEXT,109,118400
Nebraska,IMAGE,153,110400
New Mexico,IMAGE,174,104800
Mississippi,TEXT,142,86000
Vermont,TEXT,188,82700
Wyoming,IMAGE,145,79800
Hawaii,IMAGE,90,77200
Wyoming,TEXT,156,65700
Delaware,IMAGE,197,65300
Oklahoma,IMAGE,267,61800
Hawaii,TEXT,172,56000
North Dakota,IMAGE,74,15600
Rhode Island,IMAGE,63,11000